synthetic_review,original_prompt,category,cat1,cat2,cat3,cat4,cat5,cat6,rating
worked great for my husband it really calmed his nastiness and helped him.,worked great for my husband it really calmed his n,['Health & Household', 'Health Care', 'Foot Health', 'Inserts & Insoles', 'Insoles'],,,4
"Does it's job! It was easy to change to your favourite drink or just a drink, I can't wait to start my own business with it.",Does it's job!,['Health & Household', 'Health Care', 'Alternative Medicine', 'Aromatherapy', 'Carrier & Essential Oils', 'Essential Oil Blends'],,1
"love this stuff...it's very sweet!  No-one said it was a product...so was it a gift from me...but no-one says that it is so easy to swallow and the taste is very sweet.  The perfect little mouthful...I love the scent of a coconut oil and coconut oil, and sweet coconut oil...and the sweet, sticky, sticky coconut oil and creamy coconut oil....that's what makes it palatable to the taste of coconut oil.",love this stuff...,['Health & Household', 'Health Care', 'Over-the-Counter Medication', 'Allergy, Sinus & Asthma'],,,4
They were easy to swallow but didn’t help with cut-off of energy after taking,They were easy to swallow but didn’t help with cut,['Health & Household', 'Vitamins, Minerals & Supplements', 'Herbal Supplements', 'Echinacea'],,,1
"I selected this product because my favorite dry hairlve is my son. I take this product because he always is happy and has a good mood. Not overly happy at all. I know this is the product I have tried and recommend, and I highly recommend. This product I ordered it from Amazon for free when I felt my kids started feeling a bit stuttered or having trouble communicating with my computer because they would come in. It doesn't work and I have more problems. This was a disappointment",I selected this product because my favorite dry ha,['Health & Household', 'Health Care', 'Over-the-Counter Medication', 'Digestion & Nausea', 'Laxatives'],,,2
"The usb port for charging is located in the strap. The charger does not have a single cap. It doesn't go anywhere near the top. I'm still very happy with the purchase. The picture on the picture has worked very well with the digital converter, I will move on with it to other countries after this product comes out.",The usb port for charging is located in the strap.,['Health & Household', 'Health Care', 'Alternative Medicine', 'Aromatherapy', 'Carrier & Essential Oils', 'Essential Oil Singles'],,5
My 23andMe results indicated I need a hydroxocobalaminophenic supplement. I feel great in my hydroxocobalamin and feel the healing process is so far faster.,My 23andMe results indicated I need a hydroxocobal,['Health & Household', 'Health Care', 'Incontinence & Ostomy', 'Cleansers, Cloths & Creams'],,,2
"Love these bars. They taste like caramel, they're  nice and have a soft taste.   I'll try one more day and will have more complaints on this one.","Love these bars. They taste like caramel, they're ",['Health & Household', 'Health Care', 'Over-the-Counter Medication', 'Pain Relievers', 'Hot & Cold Therapies', 'Heat Patches'],,2
Quality at a reasonable price!  Use daily!  They have plenty of vitamins and nutrients  and are easy to take.  Good value for money!,Quality at a reasonable price!  Use daily!,['Health & Household', 'Health Care', 'Foot Health'],,,,,4
love it! No fillers or binders! awesome value for  so much money.,love it! No fillers or binders! awesome value for ,['Health & Household', 'Vitamins, Minerals & Supplements', 'Digestive Supplements', 'Prebiotics'],,,1
"great product, good price, on time delivery.","great product, good price, on time delivery.",['Health & Household', 'Medical Supplies & Equipment', 'Mobility & Daily Living Aids', 'Hearing Aids, Amplifiers & Accessories', 'Domes'],,5
"Many years ago I found a vitamin E gel at the doll store which came with this product for my children, one of whom was a very large child, and I wanted to use this product. The cream itself and the gel were great and a little bitter for me. I prefer this gel to the other gel of any brand, and this was my one of the best brands that I was able to buy. I am just a little bit concerned with the taste of this product as compared to others.",Many years ago I found a vitamin E gel at the doll,['Health & Household', 'Medical Supplies & Equipment', 'Braces, Splints & Supports', 'Back, Neck & Shoulder Supports', 'Back Braces'],1
